Nom de l'entreprise,E-mail,Téléphone,Description de l'activité (anglais),Secteur majeur BvD,Section NACE Rév. 2
COGENT COMMUNICATIONS FRANCE,fr-info@cogentco.com,+33 1 49 03 18 00,Operates as a multinational Tier 1 Internet service provider,Télécommunications,J - Information et communication
IFS FRANCE,info.fr@ifsworld.com,+33 3 89 50 72 72,Engaged in the design and publishing of software,"Edition, impression",J - Information et communication
INTERSEC,contact@intersec.com,+33 1 55 70 33 55,"Provides solutions for streaming analytics for telecommunications, utilities, manufacturing, financial services, and retail organizations","Edition, impression",J - Information et communication
G PARTNER,contact@gpartner.eu,+33 4 81 76 01 80,Engaged in the provision of Google Enterprise solutions,Autres services,J - Information et communication
IPPON TECHNOLOGIES,accueil@ippon.fr,+33 1 46 12 48 48,Engaged in the provision of hardware and software consultancy services,Autres services,J - Information et communication
CEREZA CONSEIL,administratif@cereza.fr,+33 1 53 34 05 72,"Engaged in the provision of computer programming, data processing, and other computer related services",Autres services,J - Information et communication
BUZZMAN,contact@buzzman.pv,+33 1 58 60 36 10,Engaged in motion picture and video tape production,Autres services,J - Information et communication
CAT,cat@akeotelecom.com,+33 2 32 77 27 87,Engaged in the provision of telecommunication services,Télécommunications,J - Information et communication
MAGELLAN CONSULTING,contact@magellan-consulting.eu,+33 1 42 66 06 06,"Engaged in the study and providing solutions to users of computer systems design, development, supply, installation, maintenance, and supervision of all services, systems, and computer hardware products",Autres services,J - Information et communication
RM INGENIERIE,cial@rminformatique.com,+33 5 65 76 03 00,Engaged in computer consultancy activities,Autres services,J - Information et communication
PYRENEES PRESSE,jp.cassagne@pyrenees.com,+33 5 59 82 20 08,Engaged in publishing journals and periodicals,"Edition, impression",J - Information et communication
CINETEVE,cineteve@cineteve.fr,+33 1 48 04 96 09,Engaged in motion picture and video production,Autres services,J - Information et communication
EDEV TELESERVICES,contact@edelia.fr,+33 1 55 51 29 40,"Engaged in the provision of computer programming, data processing, and other computer related services",Autres services,J - Information et communication
BLUE CONSULTING,recrutement@blue-consulting.fr,+33 1 72 74 72 74,Engaged in the provision of computer systems design and other related services,Autres services,J - Information et communication
OBJECTWARE,info@objectware.fr,+33 1 58 62 53 53,"Design, development, and implementation of computer software applications",Autres services,J - Information et communication
SEPHIRA,contact@groupe-sephira.fr,+33 2 43 78 95 98,Engaged in the provision of computer programming services,"Edition, impression",J - Information et communication
LA CHAINE PARLEMENTAIRE-ASSEMBLEE NATIONALE,contact@lcpan.fr,+33 1 40 63 90 50,Engaged in radio and television broadcasting activities,Autres services,J - Information et communication
EVIDIAN,info@evidian.com,+33 1 30 80 37 77,Engaged in the provision of security and service management software solutions,Autres services,J - Information et communication
CAP FI TECHNOLOGY,rh@capfi.fr,+33 1 77 32 19 40,Engaged in computer programming activities and computer systems design services,Autres services,J - Information et communication
PLAY BAC PRESSE,actu@cba.fr,+33 1 53 01 23 60,Engaged in press publishing for the youth from six to 20 years,"Edition, impression",J - Information et communication
GROUPE CONCOURSMANIA,investisseurs@concoursmania.com,+33 5 57 22 76 60,The Company specializes in developing online marketing game operations.,Télécommunications,J - Information et communication
TINUBU SQUARE,contact@tinubu.com,+33 1 55 95 85 85,Engaged in the publication of Internet transaction processing software and provides IT solutions and services to different businesses,Autres services,J - Information et communication
SOC LOCATION MATERIEL COMPTABLE,commercial@lomaco.fr,+33 5 65 34 31 92,"Engaged in the provision of data processing, disaster recovery, and computer software development services","Edition, impression",J - Information et communication
SEIITRA RESEAU,commercial@seiitra.com,+33 4 76 04 23 23,"Engaged in computer software publishing, and publishing and reproduction; Operates as a software publisher","Edition, impression",J - Information et communication
EDITIONS ODILE JACOB,info@odilejacob.fr,+33 1 44 41 64 84,Engaged in the publishing and publication of social science books,"Edition, impression",J - Information et communication
TVH CONSULTING,info@tvhconsulting.com,+33 1 34 93 17 27,Engaged in providing enterprise resource planning (ERP) consulting services,Autres services,J - Information et communication
KYRIBA,infofrance@kyriba.com,+33 1 77 92 17 17,"Engaged in the design, production and commercialization of computer software design, development and marketing of any computer equipment or computer peripherals","Edition, impression",J - Information et communication
AKANEA DEVELOPPEMENT,contact@akanea.com,+33 9 72 72 23 62,Engaged in the provision of software consultancy and computer services,"Edition, impression",J - Information et communication
ITN CONSULTANTS,infos@itnsa.com,+33 1 44 91 81 00,Publication and printing of software as well as providing of data processing services,"Edition, impression",J - Information et communication
OCE PRINT LOGIC TECHNOLOGIES SA,oct-recrutement@oce.com,+33 1 48 98 80 00,Engaged in the provision of computer programming services,Autres services,J - Information et communication
PANORANET,assurance@empruntis.com,+33 1 55 87 59 87,"Engaged in the provision of computer programming, data processing, and other computer related services",Autres services,J - Information et communication
INSIEMA,communication@assystem.com,+33 1 55 65 03 00,"Engaged in the provision of computer programming, data processing, and other computer related services",Autres services,J - Information et communication
EDIMARK,contacts@edimark.fr,+33 1 46 67 63 00,Primarily engaged in the publishing of journals and periodicals,"Edition, impression",J - Information et communication
HITECHPROS,invest@hitechpros.com,+33 1 55 58 11 40,"The Company sets up contacts among all players on the computer services market: computer managers, computer engineering services companies (CESCs), independent computer consultants, training centers and software publishers. Net sales break down by activity as follows:- computer service intermediation- sales of site subscriptions",Autres services,J - Information et communication
LE POPULAIRE DU CENTRE,lepopulaire@centrefrance.com,+33 5 55 58 59 60,Print media company that is primarily engaged in the publishing of newspapers in France,"Edition, impression",J - Information et communication
ALFI,contact@alfi.fr,+33 1 43 48 25 10,Engaged in the provision of hardware consultancy services,Autres services,J - Information et communication
3 L I BUSINESS SOLUTIONS,contact@3li.com,+33 1 55 93 02 00,"A France based service firm specialized in the edition and the integration of vertical solutions ERP and CRM exclusively on the platform Microsoft Dynamics, such as: Microsoft Dynamics NAV, in the past Navision; Microsoft Dynamics AX, in the past Axapta; Microsoft Dynamics CRM; and Dynamics 365",Autres services,J - Information et communication
SYMA MOBILE,hotline@symacom.fr,+33 1 44 24 06 37,Engaged in sale of goods and services in the field of telecommunications,Télécommunications,J - Information et communication
FACTOR SOFT,info@factorsoft.fr,+33 1 78 76 78 77,"Engaged in the wholesale distribution of IT equipment, software, hardware, and consumer electronics",Autres services,J - Information et communication
GENESYS TELECOMMUNICATIONS LABORATORIES,accueil.france@genesys.com,+33 1 41 10 17 17,Engaged in publishing of software primarily in France,"Edition, impression",J - Information et communication
NEXEO CONSULTING,info@nexeo.fr,+33 1 40 82 79 00,Engaged in the provision of business consulting services specialized in financial IT (information technology),Autres services,J - Information et communication
Z E D ZOOETHNOLOGICAL DOCUMENTARIES,everiepe@zed.fr,+33 1 53 09 96 96,Global mobile monetization company focused in mobile advertising and marketing,Autres services,J - Information et communication
THOMSON REUTERS SCIENTIFIC,info@thomsonreuters.com,+33 1 53 06 20 00,"Engaged in the provision of information and decision support tools for researchers, scientists and information professionals",Autres services,J - Information et communication
FASTBOOKING,customerservice@fastbooking.net,+33 1 44 71 05 05,Operates as a pioneer in e-marketing and Internet-based technologies for independent hotels and hotel groups,"Edition, impression",J - Information et communication
ISATECH,info@isatech.fr,+33 2 97 68 23 00,Engaged in the provision of computer systems design and other related services,Autres services,J - Information et communication
4 CAD PLM,nantes@4cad.fr,+33 2 51 70 28 82,Engaged in computer consultancy activities,Autres services,J - Information et communication
ITV STUDIOS FRANCE,contact.france@itv.com,+33 1 41 04 96 84,Engaged in the provision of television programming and production services,Autres services,J - Information et communication
ALTIMA,roubaix@altima-agency.com,+33 3 28 33 08 30,Primarily engaged in the provision of computer systems design and other related services,Autres services,J - Information et communication
NEXTINTERACTIVE,contact@01net.fr,+33 1 71 18 54 00,"Publishing, printing and circulation of journals and periodicals","Edition, impression",J - Information et communication
AGAT-FILMS ET CIE,courrier@agatfilms.com,+33 1 53 36 32 32,Engaged in motion picture and video production,Autres services,J - Information et communication
FOLIATEAM,disdbo@foliateam.com,+33 1 55 12 55 12,Engaged in the provision of telecommunications and security services,Télécommunications,J - Information et communication
T I L TECHNOLOGIES,info@til-technologies.fr,+33 8 92 70 02 04,Engaged in the development and manufacture of electronic security systems and software for buildings in France,Autres services,J - Information et communication
F5 NETWORKS,franceinfo@f5.com,+33 1 41 44 89 50,"Helps organizations seamlessly scale cloud, data center, and software-defined networking deployments to successfully deliver applications to anyone, anywhere, at any time",Autres services,J - Information et communication
LAGARDERE DIGITAL FRANCE,dircom@lagardere.fr,+33 1 41 34 80 00,"Primarily engaged in conducting digital activities, offering customers with a broad array of digital services",Autres services,J - Information et communication
EDITIONS NUIT ET JOUR,ventesabo@nuitetjour.fr,+33 1 40 64 31 31,A France-based holding business with subsidiaries that are active in the publishing sector,"Edition, impression",J - Information et communication
SOCIETE DE GESTION DE TERMINAUX INFORMATIQUES,help@soget.fr,+33 2 35 19 25 54,"Engaged in providing computer programming, data processing, and other computer related services",Autres services,J - Information et communication
ELECTRE,biblio@electre.com,+33 1 44 41 28 00,"Engaged in printing and publishing of books, journals and periodicals","Edition, impression",J - Information et communication
A PRIME GROUP,accueil@aprimegroup.com,+33 1 55 38 12 12,Engaged in motion picture and video production,Autres services,J - Information et communication
AMEXIO,contact@amexio.fr,+33 1 42 99 60 60,Engaged in the provision of computer programming services,Autres services,J - Information et communication
REUSSIR,direction@reussir.fr,+33 2 31 35 77 00,Engaged in the publishing business; Operates as a magazine and periodical publisher,"Edition, impression",J - Information et communication
GFI INFOGEN SYSTEMS,info@gfi.com,+33 1 44 04 50 00,Engaged in the provision of high-performance IT solutions,Autres services,J - Information et communication
SOMEI MED ETU INFORMATIQUE,contact@somei.fr,+33 4 91 57 62 70,"Engaged in the provision of computer programming, data processing and other computer related services",Autres services,J - Information et communication
LAVIGNE,calendriers@lavigne.fr,+33 1 41 09 19 00,"Engaged in printing and other related support activities; Involved in printing on apparel and textile products, paper, metal, glass, plastics and other materials","Edition, impression",J - Information et communication
INGENICO E-COMMERCE SOLUTIONS,reception@ecom.ingenico.com,+33 1 70 70 09 03,"Engaged in the provision of payment solutions for e-commerce transactions across in-store, online, and mobile channels",Autres services,J - Information et communication
LEXSI,ppolette@lexsi.com,+33 1 55 86 88 88,Engaged in provision of software and solutions against cyberthreats,Autres services,J - Information et communication
LOTSYS,info@lotsys.com,+33 1 41 44 39 00,Engaged in the provision of customized solutions for the international gaming market,Autres services,J - Information et communication
XEBIA IT ARCHITECTS,info@xebia.fr,+33 1 46 91 76 16,Engaged in the provision of custom computer programming services,Autres services,J - Information et communication
COHERIS,finance@coheris.com,+33 1 57 32 60 60,"The Company specializes in publishing software covering the complementary fields of CRM (Cares, Sales et Marketing) and Business Intelligence (BPM, Datamining et DQM).",Autres services,J - Information et communication
M6 GENERATION,mnotebaerte@m6.fr,+33 1 41 92 66 66,Engaged in the provision of cable television broadcasting services,Autres services,J - Information et communication
SA INVESTIR PUBLICATIONS,abonnes@investir.fr,+33 1 44 88 48 00,Engaged in the publication of monthly economic and financial newspaper,"Edition, impression",J - Information et communication
IVALUA,info@ivalua.com,+33 1 64 86 54 54,Engaged in software development,"Edition, impression",J - Information et communication
NORD SARTHE INFORMATIQUE SERVICES,contact@nsiservices.com,+33 1 56 20 88 00,Engaged in providing computer related services,Autres services,J - Information et communication
EURO SERVICES INTERNET,accueil@multimediapress.com,+33 1 55 25 31 00,"A France-based business which is engaged in publishing newspapers, magazines, other periodicals, books, directories and mailing lists, and other works, such as calendars, greeting cards, and maps","Edition, impression",J - Information et communication
KERENSEN CONSULTING,info@kerensen.com,+33 1 56 91 50 20,Engaged in the provision of computer systems design and related services,Autres services,J - Information et communication
LE MAINE LIBRE,redaction@maine-libre.com,+33 2 43 83 72 72,Engaged in publishing and printing newspapers,"Edition, impression",J - Information et communication
EDITIONS DES ARENES,l.beccaria@arenes.fr,+33 1 42 17 47 80,Engaged in the publication of books,"Edition, impression",J - Information et communication
SPIE CLOUD SERVICES,communication@veepee.com,+33 1 73 02 68 01,Engaged in the provision of computer processing and data preparation processing services,Autres services,J - Information et communication
CITYWAY,info@cityway.fr,+33 4 42 37 18 40,"Engaged in the provision of computer programming, data processing, and other computer related services",Autres services,J - Information et communication
LE CHERCHE-MIDI EDITEUR SA,infos@cherche-midi.com,+33 1 42 22 00 10,Publishing and distribution of books,"Edition, impression",J - Information et communication
INFOLOGIC - ENGINEERING,commerciaux@infologic.fr,+33 4 75 82 16 30,Engaged in the provision of computer systems design services,Autres services,J - Information et communication
TESSI EDITIQUE,contact38@tessi.fr,+33 1 64 54 62 00,Engaged in data processing and seizure,Autres services,J - Information et communication
LA CHARENTE LIBRE,accueil-cl@charentelibre.fr,+33 5 45 94 16 00,Engaged in printing and publishing of newspaper,"Edition, impression",J - Information et communication
HORTICOLOR,horticolor@horticolor.com,+33 2 37 83 64 54,Engaged in advertising editions for horticulture,"Edition, impression",J - Information et communication
GMS,contact@gms-telecom.com,+33 4 94 35 72 32,Engaged in provision of information and communication specialized in telecommunications activities,Télécommunications,J - Information et communication
KINOLOGY,gmareschi@kinology.eu,+33 1 48 24 48 71,,Autres services,J - Information et communication
QUANTIC,admin@quantic.fr,+33 1 85 33 01 30,Engaged in the provision of business management and consultancy services,Autres services,J - Information et communication
LE QUOTIDIEN,scdir@lequotidien.re,,Engaged in publishing journals and periodicals,"Edition, impression",J - Information et communication
RESA AIRPORT DATA SYSTEMS,info@resa.fr,+33 2 51 24 70 00,Engaged in the provision of computer programming services,Autres services,J - Information et communication
POURQUOI PAS LA LUNE,contact@2p2l.com,+33 1 53 98 82 00,Engaged in motion picture and video production,Autres services,J - Information et communication
NOVACOM SERVICES,info@novacom-services.com,+33 5 61 39 50 00,Engaged in the development and operation of innovative telematics solutions,Télécommunications,J - Information et communication
NOVALTO,contact@novalto.fr,+33 4 79 84 78 47,Engaged in building the network of managers of SMEs and develops services,Télécommunications,J - Information et communication
2B CONSULTING SA,info@2bconsulting.com,,Engaged in the provision of business and other management and consultancy services,Autres services,J - Information et communication
WISTER,contact@wister.fr,+33 1 48 05 60 47,Engaged in the wholesale of communication equipment and other related products,Télécommunications,J - Information et communication
EDITIONS PLAY BAC,editions@playbac.fr,+33 1 53 01 23 60,Operates as an educational publisher,"Edition, impression",J - Information et communication
MC NEXT,contact@mcnext.com,+33 1 49 70 81 33,Engaged in the provision of consulting and IT engineering services,Autres services,J - Information et communication
COMPUGROUP MEDICAL SOLUTIONS,facturation@axilog.fr,+33 8 25 01 33 33,Engaged in the provision of eHealth solutions,"Edition, impression",J - Information et communication
INNOVATEAM,drh@innovateam.fr,+33 1 41 92 50 00,Operates as a consulting firm that specializes in engineering and audit in the innovative and high-technology industries,Autres services,J - Information et communication
CLEVER AGE,administratif@clever-age.com,+33 1 53 34 66 10,Engaged in computer programming activities and computer systems design services,Autres services,J - Information et communication
QUALYS TECHNOLOGIES,info-fr@qualys.com,+33 1 41 97 35 70,Engaged in the provision of computer related services,Autres services,J - Information et communication
@UCTIONS PRESS,gazette@gazette-drouot.com,+33 1 47 70 93 00,Engaged in the publishing of journals and periodicals,"Edition, impression",J - Information et communication
SOFT MAINT SA,contacts@sodifrance.fr,+33 2 40 18 52 00,Engaged in providing information processing and payment means services,Autres services,J - Information et communication
ON-X GROUPE,rh@on-x.com,+33 1 40 99 14 14,Engaged in the provision of computer systems design and other related services,Autres services,J - Information et communication
TWENGA,stages@twenga.com,+33 1 55 34 79 64,Engaged in the provision of information technology (IT) resourcing and consulting services,Autres services,J - Information et communication
RMC SPORT,imillo@rmcsport.fr,+33 1 71 19 11 91,Engaged in providing other information services,Autres services,J - Information et communication
LIAISON FILMS,contact@liaisonfilms.com,+33 1 55 37 28 28,Engaged in providing motion picture and video production services,Autres services,J - Information et communication
LA SOCIETE EUROPEENNE DE PRODUCTION,contact@sep.tv,+33 1 41 10 71 07,,Autres services,J - Information et communication
WALL STREET SYSTEMS LABORATORIES SARL,info@wallstreetsystems.com,+33 4 92 38 81 00,"Engaged in providing global treasury, trading and settlement solutions and services",Autres services,J - Information et communication
ATLOG,infos@atlog.net,+33 2 35 79 18 06,"Engaged in the provision of computer programming, data processing, and other computer related services","Edition, impression",J - Information et communication
ENOVANCE,contact@redhat.com,+33 1 49 70 99 70,Engaged in the provision of hosting and managed services,Autres services,J - Information et communication
CINRAM LOGISTICS FRANCE,infofrance@cinram.com,+33 2 32 21 47 00,Engaged in motion picture and video distribution,Autres services,J - Information et communication
PERMIS INFORMATIQUE,press@le-pi.com,+33 1 53 34 15 40,Engaged in the provision of computer systems design and related services,Autres services,J - Information et communication
MAKAZI,contact@makazi.com,+33 1 43 87 08 59,Online target-based advert and campaign placing services [source: Bureau van Dijk],Autres services,J - Information et communication
KOMPASS INTERNATIONAL SA,info@kompass.com,+33 1 43 34 34 34,"Engaged in the provision of global business information that can be used for sales, marketing, research and purchasing",Autres services,J - Information et communication
CODIX COMPAGNIE DE DISTRIBUTION INFORMATIQUE EXPERT,info@codix.eu,+33 4 89 87 77 77,Engaged in the provision of computer related services,Autres services,J - Information et communication
CODES ROUSSEAU,info@codes-rousseau.fr,+33 2 51 23 11 00,"Publisher of professional materials related to driving schools, road safety and education","Edition, impression",J - Information et communication
ECHO COMMUNICATION,direction.echorep@centrefrance.com,+33 2 37 88 88 88,"Engaged in publishing and printing newspaper, magazines and related articles","Edition, impression",J - Information et communication
MANTIS,contact@verifiance-fnci.fr,+33 1 44 76 90 90,"Engaged in the provision of computer programming, data processing and other computer related services",Autres services,J - Information et communication
APPLIUM,info@applium.fr,+33 1 41 05 39 00,Engaged in the provision of SAP integration services,Autres services,J - Information et communication
PENTALOG FRANCE,hightech@pentalog.com,+33 2 38 25 30 30,"Engaged in the provision of IT outsourcing services; Involved in nearshoring/offshoring, multi-shore consulting and cloud computing",Autres services,J - Information et communication
SERVICES GESTION INFORMATIQUES LOGICIELS,drh@segilog.com,+33 2 43 93 32 91,Engaged in the provision of computer systems design and other related services,"Edition, impression",J - Information et communication
SON ET LUMIERE,production@sonetlumiere.fr,+33 1 47 47 13 50,Engaged in the production of motion pictures for television and television programs,Autres services,J - Information et communication
PIKA EDITION,mail@pika.fr,+33 1 41 10 23 90,Primarily engaged in the publishing of manga comic books,"Edition, impression",J - Information et communication
WYPLAY,sales@wyplay.com,,Engaged in system and network software publishing,"Edition, impression",J - Information et communication
REYNOLDS AND REYNOLDS,reception_fr@reyrey.com,+33 8 25 82 00 38,Engaged as an automobile dealer support company in France,Autres services,J - Information et communication
L'EST ECLAIR,redaction@lest-eclair.fr,+33 3 25 71 75 75,Engaged in the publication and printing of newspapers,"Edition, impression",J - Information et communication
QUADRA INFORMATIQUE,bureau@quadra-informatique.fr,+33 3 28 16 16 00,Engaged in providing computer systems design and related services,Autres services,J - Information et communication
SOCIETE D'INFORMATION ET DE CREATIONS,drh@gmc.tm.fr,+33 1 41 46 88 88,Engaged in the publishing of books in France,"Edition, impression",J - Information et communication
ID2,commercial@id-2.fr,+33 1 41 05 17 00,Engaged in providing computer related services,Autres services,J - Information et communication
EDD,edd@edd.fr,+33 1 55 43 21 21,Operates as an Internet search engine and other related IT services,Autres services,J - Information et communication
SCIENCES ET AVENIR,redaction@sciencesetavenir.fr,+33 1 55 35 56 00,Engaged in the publishing of journals and periodicals; Operates as a magazine and periodical publisher,"Edition, impression",J - Information et communication
APOLOGIC INFORMATIQUE APPLICATIONS,contact@apologic.fr,+33 2 96 87 17 87,"Engaged in the provision of computer programming, data processing, and other computer related services",Autres services,J - Information et communication
PATHE BELLE EPINE,webmaster@pathe.com,,Engaged in motion picture production and distribution,Autres services,J - Information et communication
BALLY GAMING AND SYSTEMS,fborghi@ballytech.com,+33 4 97 03 85 20,Operates as a manufacturer of equipment and games for casinos,Autres services,J - Information et communication
LE JOURNAL DE LA HAUTE MARNE,info@jhm.fr,+33 3 25 03 86 40,Engaged in publishing and printing newspapers,"Edition, impression",J - Information et communication
LES ARMATEURS,info@lesarmateurs.com,+33 1 49 29 09 77,Engaged in the provision of motion picture and video production and allied services in France,Autres services,J - Information et communication
LES EDITIONS DIDIER,contact@editions-didier.fr,+33 1 44 41 31 31,Engaged in the publication of books and other related articles,"Edition, impression",J - Information et communication
MOVEA,sales.eu@invensense.com,+33 4 38 21 19 31,Mobile application motion sensor technology solutions provider ; Motion sensor electronics components manufacturer ; Motion sensor technology development services [source: Bureau van Dijk],Autres services,J - Information et communication
B-PROCESS,info@b-process.com,+33 1 78 42 30 00,"Engaged in data processing, hosting and related activities",Autres services,J - Information et communication
DEVERYWARE,info@deveryware.com,+33 1 80 90 54 80,Operates as a geolocation operator that offers a range of innovative services to assist mobile users in their everyday lives in France,"Edition, impression",J - Information et communication
ITELLIGENCE FRANCE,contact@itelligence.fr,+33 1 40 86 22 31,SAP consultancy services [source: Bureau van Dijk],Autres services,J - Information et communication
C B A INFORMATIQUE LIBERALE,cba@cbainfo.fr,+33 4 90 84 20 00,"Engaged in the provision of software vendor management, accounting and data transmission to the medical and paramedical professionals","Edition, impression",J - Information et communication
PERCALL,contact@percall.fr,+33 4 78 00 45 14,"Engaged in providing computer programming, data processing, and other computer related services",Autres services,J - Information et communication
DATAFIRST,contact@datafirst.fr,+33 4 78 78 11 12,Engaged in the development and deployment of management solutions and other related automated business processes for the automotive industry,"Edition, impression",J - Information et communication
FLEURUS MAME,fleuruseditions@fleuruseditions.com,+33 1 42 84 86 00,Engaged in book publishing in France,"Edition, impression",J - Information et communication
SYSTEMES ET TELECOMMUNICATIONS SA,commercial@systel-fr.com,+33 5 46 44 57 20,"Manufacture and sale of television and radio transmitters, as well as other telecommunication apparatus for line telephony and telegraphy",Autres services,J - Information et communication
ENGINEERING RESEAUX COMMUNICATIONS,info@ercom.fr,+33 1 39 46 50 50,Engaged in the provision of telecommunications solutions in France,Télécommunications,J - Information et communication
FAST CONNECT,recrutement@fastconnect.fr,+33 1 45 07 06 07,Operates as an information technology consulting and integrating firm,Autres services,J - Information et communication
CFI TECHNOLOGIES,accueil@cfi-technologies.fr,+33 1 69 11 10 00,"Engaged in the provision of computer programming, data processing, and other computer related services",Autres services,J - Information et communication
EDITION DIFFUSION PRESSE SCIENCES,web@edpsciences.org,+33 1 69 18 75 75,Engaged in publishing journals and periodicals,"Edition, impression",J - Information et communication
ESTEREL TECHNOLOGIES,sales@esterel-technologies.com,+33 1 30 68 61 60,"Manufacturer and supplier of model-based design, validation, and code generation tools for safety-critical software and hardware applications","Edition, impression",J - Information et communication
VISEO BI,info@viseo.net,+33 1 56 56 71 00,Business intelligence consultancy [source: Bureau van Dijk],Autres services,J - Information et communication
LAGARDERE STUDIOS,entertainment@lagardere-active.com,+33 1 40 74 78 88,The development of Lagardere SCA's audiovisual production and distribution activities through reorganization,Autres services,J - Information et communication
ATHENA GLOBAL SERVICES,accueil@athena-gs.com,+33 1 55 89 08 88,Operates as an independent firm specializing in the distribution of security software,"Edition, impression",J - Information et communication
BAMBOO EDITION,contact@bamboo.fr,+33 3 85 34 99 09,"Engaged in the publishing of books, journals and periodicals","Edition, impression",J - Information et communication
AVISTO TELECOM,accueil@avisto-design.com,+33 4 92 38 17 02,Engaged in the provision of telecommunication services,Autres services,J - Information et communication
FUTURMASTER,info@futurmaster.com,+33 1 46 08 05 45,Engaged in the provision of information technology (IT) services and solutions,Autres services,J - Information et communication
GEOLID,lyon@geolid.com,+33 4 82 53 60 60,Engaged in the provision of infrastructure for hosting and data processing services,Autres services,J - Information et communication
MYBESTPRO,serviceclient@wengo.com,+33 1 42 66 31 87,"Engaged in the writing, modifying, testing, and supporting of software to meet the needs of a particular customer",Autres services,J - Information et communication
MEDIADUB INTERNATIONAL,mediadub@mediadub.fr,+33 1 55 12 30 80,"Engaged in the provision of motion picture, video and television program production activities",Autres services,J - Information et communication
QUANTIC DREAM,rh@quanticdream.com,+33 1 44 64 00 90,Engaged in the operation of motion capture studios,Autres services,J - Information et communication
LEASEWARE,contact@leaseware.fr,+33 1 46 64 27 84,Engaged in the provision of computer programming services,Autres services,J - Information et communication
ARPEGE,arpege@arpege.tm.fr,+33 8 20 16 58 00,Engaged in the provision of optimal software solutions for councils,"Edition, impression",J - Information et communication
MK2 TOLBIAC,accueil@mk2.com,+33 1 44 67 30 00,Operates a theater or other facility for performing arts,Autres services,J - Information et communication
INDEX EDUCATION,code@edt.tm.fr,+33 4 96 15 21 70,"Primarily engaged in the purchase, creation, implementation of computer products, computer hardware and software as well as other related devices","Edition, impression",J - Information et communication
ARTAUD COURTHEOUX ET ASSOCIES,aca@aca.fr,+33 1 53 53 80 80,Engaged in application software publishing and related activities,"Edition, impression",J - Information et communication
C2S,achats@c2s.fr,+33 1 30 60 82 00,Engaged in the provision of information technology services,Autres services,J - Information et communication
OMNILOG,drh@omnilog.fr,+33 1 47 38 20 80,Engaged in the provision of IT services in IT management services,Autres services,J - Information et communication
SOC DE PUBLICATIONS PUBLICITE SOCIETES,accueil@jss.fr,+33 1 47 03 10 10,Engaged in the publication of journals and periodicals,"Edition, impression",J - Information et communication
ECRITEL,support.clients@ecritel.net,+33 1 40 61 20 00,"Engaged in providing computer programming, data processing, and other computer related services",Autres services,J - Information et communication
ST GROUPE,info@stgroupe.fr,+33 1 41 43 71 71,Engaged in the provision of computer programming services,Autres services,J - Information et communication
PROCOMM - MMC,infos@procomm-mmc.com,+33 1 53 33 03 30,,Autres services,J - Information et communication
GENIOUS SYSTEMES,contact@genious.com,+33 1 79 62 60 60,"Engaged in the provision of computer programming, data processing, and other computer related services",Autres services,J - Information et communication
LA FRANCAISE D IMAGES,jllespart@lfdj.com,+33 1 41 10 32 39,Engaged in the broadcasting of radio and television programs,Autres services,J - Information et communication
CASSIOPAE REAL ESTATE,sales.realestate@cassiopae.com,+33 2 49 62 06 20,"An information technology (IT) enterprise specializing in IT consulting, application development, infrastructure/ network development and IT outsourcing","Edition, impression",J - Information et communication
PICTIME GROUPE,contact@pictime.com,+33 3 28 52 05 20,Engaged in computer systems design and related services,Autres services,J - Information et communication
MAILTIN'POST,contact@mailtinpost.com,+33 4 74 95 10 76,"Engaged in the provision of parcel, marketing mail, and express delivery services, as well as offers stamps and unclaimed package management services",Télécommunications,H - Transports et entreposage
LIBELLA,informations@libella.fr,+33 1 44 32 05 60,"Engaged in trust, fiduciary, and custody activities","Edition, impression",J - Information et communication
SERVICES ET MAINTENANCE INFORMATIQUE,infocom@smi29.fr,+33 2 98 25 34 00,Engaged in the computerization structure of the Coopagri group,Autres services,J - Information et communication
DELL SOFTWARE,info@fr.quest.com,+33 1 43 59 68 51,"Engaged in the distribution of software and the provision of computer programming, data processing, and other computer related services, specializing in computer systems design services and data base activities, principally in France",Autres services,J - Information et communication
BEY MEDIAS PRESSE & INTERNET,contact@lopinion.fr,+33 1 40 69 46 90,Newspaper publishing services [source: Bureau van Dijk],Autres services,J - Information et communication
NORMASYS,recrutement@normasys.com,+33 1 49 70 41 40,Engaged in the provision of computer programming services,Autres services,J - Information et communication
THE GANG FILMS,contact@gangfilms.com,+33 1 44 29 80 00,Engaged in the development and production of commercials; Developed fiction (feature film and television) and documentary,Autres services,J - Information et communication
LEXMARK ENTERPRISE SOFTWARE FRANCE S A S,info-fr@readsoft.com,+33 1 34 93 28 13,Engaged in the provision of computer related services,Autres services,J - Information et communication
FAST PARALLEL SOLUTIONS FRANCE,admin@fps.fr,+33 1 40 91 23 00,Engaged in the wholesale distribution of computers and computer peripherals,Autres services,J - Information et communication
CORUS,lyon@corus.fr,+33 4 72 83 83 55,"Design, development, and implementation of computer software applications",Autres services,J - Information et communication
TELEFONICA INTERNATIONAL WHOLESALE SERVICES FRANCE,prensatelefonica@telefonica.com,+33 1 48 11 19 52,Engaged in the provision of communication and BGAN (Broadband Global Area Network) services,Télécommunications,J - Information et communication
VIVEO FRANCE,contact@viveo.fr,+33 1 44 09 55 00,Engaged in the development of banking and financial software,"Edition, impression",J - Information et communication
